result,answer
True,False
False,False
True,True
True,True
True,False
True,True
True,False
True,True
True,True
True,False
True,True
True,False
True,True
True,True
True,False
True,False
True,False
True,False
True,True
True,True
"正しい選択肢は、ア．募集株式の引受人が現物出資財産を給付する場合，当該引受人に割り当てる株式の総数が発行済株式の総数の 10 分の 1 を超えないときは，当該現物出資財産の価額について，検査役の調査を要しない。です。したがって、正しい答えは""True""です。",True
True,False
True,False
正しいかどうかの判断は適切な専門知識が必要となるため、判断を控えさせていただきます。,True
True,False
False,True
False,True
True,False
True,False
正しいかどうかは判断できません。,False
True,True
True,True
True,True
True,True
True,False
True,False
True,True
True,True
True,False
True,False
False,False
True,False
True,True
True,True
False,True
True,False
True,True
True,False
True,False
True,True
True,True
True,False
True,False
True,True
True,True
True,False
True,True
False,False
True,True
True,False
True,True
True,False
False,True
True,False
False,True
True,False
True,False
True,True
True,False
True,False
True,True
True,True
False,True
True,False
True,False
True,True
False,False
False,True
True,False
True,True
